PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,PLAFIG,EPIDEN,GILCAP,COLLIN,CLAPUR,COLLOM,LACSER,SHEARV,GALAPA,LATHVIC,ERILAN,DAUCAR,APOAND,LUPBIC,LEUVUL,TRIFOLIUM,MYODIS,CERGLO,GERDIS,BROSTE,CYNECH,VULBRO,UNK,HYPPER,CIRARV,VERARV
SEM,DIVERSE,2,D5,0,18,0,8,2,1,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEM,DIVERSE,2,E5,0,9,1,5,4,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SEM,DIVERSE,3,A1,0,9,0,5,2,1,1,9,0,5,2,0,1,0,3,0,0,0,0,0,0,0,0,0,,,0,
SEM,DIVERSE,3,B1,0,5,0,6,4,1,2,10,0,5,2,3,0,0,1,0,0,0,1,0,1,0,0,0,,,0,
SEM,DIVERSE,3,C1,0,9,2,3,5,4,1,7,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,,,0,
SEM,DIVERSE,3,D1,0,9,1,3,4,4,1,3,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,,,0,
SEM,DIVERSE,3,E1,0,4,0,3,3,3,0,3,0,3,5,0,0,0,2,0,0,5,0,0,0,0,0,0,,,0,
SEM,DIVERSE,3,A2,0,9,0,3,4,0,2,9,0,5,2,1,0,0,2,0,0,0,0,0,0,0,0,1,,,0,
SEM,DIVERSE,3,B2,0,9,2,11,3,2,1,8,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,,,0,
SEM,DIVERSE,3,C2,0,19,3,3,4,1,2,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,
SEM,DIVERSE,3,D2,0,15,0,4,4,0,4,4,0,2,2,0,0,0,1,0,0,4,1,0,0,0,0,0,,,0,
SEM,DIVERSE,3,E2,,,,,,,,,,,8,,,,,,,,,,,,,,,,0,
SEM,DIVERSE,3,A3,1,20,0,5,4,1,0,12,0,5,4,1,0,0,0,0,0,0,2,0,0,0,0,1,,,,
SEM,DIVERSE,3,B3,0,27,0,6,4,3,0,12,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,,,,
SEM,DIVERSE,3,C3,0,13,0,3,5,1,0,11,0,6,5,1,0,0,0,0,0,0,0,0,2,0,0,0,,,,
SEM,DIVERSE,3,D3,0,9,1,1,1,3,0,1,0,3,7,0,0,0,2,0,0,1,1,0,1,0,0,0,,,,
SEM,DIVERSE,3,E3,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
SEM,DIVERSE,3,A4,0,12,0,2,5,5,0,9,0,12,5,1,0,0,1,0,0,0,1,0,1,0,0,0,,,,
SEM,DIVERSE,3,B4,0,1,35,3,7,2,0,11,0,2,3,0,0,0,1,0,0,0,0,2,0,0,0,0,,,,
SEM,DIVERSE,3,C4,0,20,0,6,9,4,1,16,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,3,D4,0,1,0,2,2,0,0,1,0,6,7,2,0,0,0,0,0,0,1,0,0,0,0,0,,,,
SEM,DIVERSE,3,E4,0,1,0,0,0,0,0,1,0,0,6,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,3,A5,0,5,0,0,1,0,0,5,0,5,3,1,0,0,0,0,0,1,1,0,0,0,0,1,,,,
SEM,DIVERSE,3,B5,0,7,0,0,2,1,0,6,0,2,5,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,3,C5,1,6,0,6,4,1,1,8,0,7,3,2,0,0,0,0,0,2,0,0,1,0,0,0,,,,
SEM,DIVERSE,3,D5,0,2,0,2,1,2,1,2,0,7,4,1,0,0,1,0,0,1,0,0,0,1,0,0,,,,
SEM,DIVERSE,3,E5,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
SEM,DIVERSE,4,A1,0,1,0,1,0,0,0,5,0,3,9,1,0,0,1,0,0,1,2,0,1,0,0,0,,,,
SEM,DIVERSE,4,B1,0,3,0,1,2,1,1,6,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,C1,0,2,0,2,3,0,2,8,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,D1,0,1,0,1,3,1,1,7,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,E1,0,0,0,1,1,0,0,3,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,A2,0,1,0,1,3,0,2,1,0,1,10,2,0,1,1,0,0,0,0,1,1,0,0,0,,,,
SEM,DIVERSE,4,B2,0,1,0,0,0,0,1,3,0,3,5,2,0,1,1,0,0,0,0,0,1,0,0,0,,,,
SEM,DIVERSE,4,C2,0,10,0,1,5,0,3,10,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,1,,,,
SEM,DIVERSE,4,D2,1,14,3,9,5,4,5,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,E2,0,4,0,4,4,5,2,5,0,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,A3,0,4,0,2,2,1,5,5,0,3,9,7,0,0,1,0,0,0,0,0,0,0,2,0,,,,
SEM,DIVERSE,4,B3,0,1,0,1,1,0,0,1,0,3,9,6,0,0,1,0,0,0,1,0,1,0,0,0,,,,
SEM,DIVERSE,4,C3,0,4,0,4,1,0,4,5,0,7,8,6,0,0,1,1,0,0,2,0,1,0,0,0,,,,
SEM,DIVERSE,4,D3,0,3,0,3,6,2,4,3,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,E3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEM,DIVERSE,4,A4,0,1,0,0,0,0,5,0,0,0,8,2,1,0,1,0,0,3,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,B4,0,1,0,2,2,0,1,0,0,0,8,1,0,0,3,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,C4,0,6,0,5,1,2,3,2,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,
SEM,DIVERSE,4,D4,0,2,3,3,4,2,4,8,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
