PARK,PLOT,PLOT,SUBPLOT,PLECON,NAVSQU,EPIDEN,PLAFIG,GILCAP,COLLOM,CLAPUR,COLLIN,BROHOR,ERILAN,CRESET,CYNECH,DAUCAR,GERDIS,LEUVUL,Madia,SHEARV,AIRCAR,ARRELA,BROELE,BRODIA,BROSTE,GALAPA,HOLLAN,LINBIE,MYODIS,PLALAN,RUAR,TORARV,VULBRO,agrostis spp,APOAND,CAMLEI,CASTEN,CERGLO,Cirsium,DACGLO,DIAARM,HYPPER,LACSER,LATVES,RUMCRI,SONASP,TAECAP,TRIDUB,Trifolium,Vicia,CARTUM,VEROFF,BROSIT,EPIBRA,CARHIR,NAVINT,CYTSCO,ACMAME,DICCON,WYEANG,NOTES
WIR,DIVERSE,5,A3,0,0,0,0,0,0,0,0,1,,,,,,5,,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,5,B3,0,0,0,0,0,0,0,0,1,,2,,2,3,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,5,C3,0,0,0,0,0,0,0,0,1,,,,,2,7,,,8,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
WIR,DIVERSE,5,D3,0,0,0,0,0,0,0,0,4,,1,,12,,,,<1,4,,,,1,<1,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,,,,,,,
WIR,DIVERSE,5,E3,0,0,0,0,0,0,0,0,2,,,,10,,1,,,6,,,,1,<1,,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
WIR,DIVERSE,5,A4,0,0,0,0,0,0,0,0,4,,3,,,2,4,,,8,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,5,B4,0,0,0,0,0,0,0,0,1,,3,,2,2,,,<1,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIR,DIVERSE,5,C4,0,0,0,0,0,0,0,0,3,,4,1,4,1,,,,8,,,,2,<1,,,,,,,<1,,,,,2,,,,,,,,,,,,1,,6,,,,,,,,,
WIR,DIVERSE,5,D4,0,0,0,0,0,0,0,0,3,,3,1,2,1,,,<1,7,,,,1,<1,,,,,,,<1,,,,,1,,,,,,,,,,,,,,29,,,,,,,,,
WIR,DIVERSE,5,E4,0,0,0,0,0,0,0,0,3,,4,2,,2,1,,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
WIR,DIVERSE,5,A5,0,0,0,0,0,0,0,0,<1,,5,,,,2,,<1,8,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,
WIR,DIVERSE,5,B5,0,0,0,0,0,0,0,0,<1,,2,1,,1,,,<1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
