PARK,PLOT,PLOT.NUM,SUBPLOT,SPECIES,REP,FFDATE,HEIGHT,DEATHDATE,NOTES,,,,,,,,,,,,,,,,
BR,DIVERSE,2,,COLLIN,8,5/16/2025,11.9,,,,,,,,,,,,,,,,,,
BR,DIVERSE,4,,COLLIN,9,6/2/2025,4.2,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,,COLLIN,10,,,6/24/2025,ODD and small 6/2,,,,,,,,,,,,,,,,
BR,DIVERSE,3,,COLLOM,1,,,6/6/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,,COLLOM,2,6/6/2025,9.0,,,,,,,,,,,,,,,,,,
BR,DIVERSE,3,,COLLOM,3,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,,COLLOM,4,6/24/2025,15.5,,height at fruit,,,,,,,,,,,,,,,,
BR,DIVERSE,3,,COLLOM,5,6/27/2025,13.1,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,,COLLOM,6,6/9/2025,13.3,,,,,,,,,,,,,,,,,,
BR,DIVERSE,14,,COLLOM,7,6/24/2025,13.3,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,COLLOM,8,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,COLLOM,9,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,COLLOM,10,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,EPIDEN,1,,,,odd 6/24/25,,,,,,,,,,,,,,,,
BR,DIVERSE,3,,EPIDEN,2,6/9/2025,2.5,,,,,,,,,,,,,,,,,,
BR,DIVERSE,5,,EPIDEN,3,6/20/2025,3.1,,,,,,,,,,,,,,,,,,
BR,DIVERSE,8,,EPIDEN,4,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,11,,EPIDEN,5,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,EPIDEN,6,6/20/2025,6.6,,,,,,,,,,,,,,,,,,
BR,DIVERSE,5,,EPIDEN,7,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,6,,EPIDEN,8,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,8,,EPIDEN,9,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,EPIDEN,10,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,GILCAP,1,6/17/2025,13.1,,,,,,,,,,,,,,,,,,
BR,DIVERSE,14,,GILCAP,2,6/20/2025,23.6,,,,,,,,,,,,,,,,,,
BR,DIVERSE,11,,GILCAP,3,,,6/17/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,GILCAP,4,6/17/2025,20.9,,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,GILCAP,5,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,10,,GILCAP,6,6/17/2025,14.3,,,,,,,,,,,,,,,,,,
BR,DIVERSE,13,,GILCAP,7,6/24/2025,19.1,,,,,,,,,,,,,,,,,,
BR,DIVERSE,11,,GILCAP,8,6/17/2025,16.5,,,,,,,,,,,,,,,,,,
BR,DIVERSE,10,,GILCAP,9,6/9/2025,18.5,,,,,,,,,,,,,,,,,,
BR,DIVERSE,13,,GILCAP,10,6/17/2025,14.4,,odd 6/24/25,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,1,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,2,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,3,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,4,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,5,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,6,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,7,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,8,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,9,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,NAVSQU,10,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,1,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,2,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,3,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,4,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,5,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,6,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,7,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,8,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,9,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,,,PLAFIG,10,,,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,,PLECON,1,4/29/2025,14.0,6/20/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,5,,PLECON,2,4/15/2025,10.0,,,,,,,,,,,,,,,,,,
BR,DIVERSE,5,,PLECON,3,4/22/2025,12.7,6/24/2025,,,,,,,,,,,,,,,,,
BR,DIVERSE,3,,PLECON,4,4/29/2025,11.0,,,,,,,,,,,,,,,,,,
BR,DIVERSE,1,,PLECON,5,4/29/2025,9.7,,,,,,,,,,,,,,,,,,
BR,DIVERSE,9,,PLECON,6,5/2/2025,3.5,,,,,,,,,,,,,,,,,,
BR,DIVERSE,4,,PLECON,7,4/29/2025,9.1,,,,,,,,,,,,,,,,,,
BR,DIVERSE,7,,PLECON,8,4/29/2025,8.1,,BT,,,,,,,,,,,,,,,,
BR,DIVERSE,14,,PLECON,9,4/22/2025,8.9,,,,,,,,,,,,,,,,,,
BR,DIVERSE,12,,PLECON,10,4/29/2025,10.4,6/20/2025,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,1,6/20/2025,23.1,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,2,6/9/2025,31.5,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,3,6/20/2025,16.0,,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,4,,,6/2/2025,,,,,,,,,,,,,,,,,
RF,ALONE,,,CLAPUR,5,6/9/2025,17.6,,,,,,,,,,,,,,,,,,
